cluster,number_of_accidents,average_accident_time,most_common_day
539,11,2021-07-08 18:38:00+00:00,THU
540,57,2021-07-10 14:17:11.578947328+00:00,THU
541,15,2021-11-22 17:42:40+00:00,TUE
542,28,2022-04-30 15:13:32.142856960+00:00,WED
543,6,2022-04-09 20:00:00+00:00,SUN
544,10,2022-04-21 09:36:00+00:00,WED
545,40,2022-02-26 22:58:51+00:00,THU
546,1,2021-11-01 00:00:00+00:00,MON
547,1,2021-10-31 00:00:00+00:00,SUN
548,1,2021-10-23 00:00:00+00:00,SAT
549,40,2022-03-02 22:55:58.500000+00:00,WED
550,3,2021-01-21 08:00:00+00:00,WED
551,3,2020-10-10 16:00:00+00:00,THU
552,2,2022-07-18 00:00:00+00:00,FRI
553,7,2022-05-30 21:41:25.714285824+00:00,MON
554,2,2022-08-22 00:00:00+00:00,SUN
555,1,2021-11-01 00:00:00+00:00,MON
556,4,2022-11-13 18:00:00+00:00,FRI
557,3,2021-12-02 08:00:00+00:00,TUE
558,17,2021-10-07 08:20:07.058823424+00:00,FRI
559,1,2021-11-04 00:00:00+00:00,THU
560,1,2021-11-04 00:00:00+00:00,THU
561,1,2021-11-04 00:00:00+00:00,THU
562,1,2021-10-13 00:00:00+00:00,WED
563,28,2021-10-06 14:24:27.857143040+00:00,TUE
564,38,2022-02-11 12:27:26.842105088+00:00,WED
565,28,2021-11-22 06:08:40.714285568+00:00,THU
566,2,2021-10-09 00:00:00+00:00,THU
567,12,2022-07-16 03:54:34.999999744+00:00,SAT
568,3,2022-01-22 16:00:00+00:00,WED
569,4,2022-09-06 18:00:00+00:00,WED
570,1,2021-11-05 00:00:00+00:00,FRI
571,10,2022-06-30 01:36:24+00:00,SAT
572,3,2022-03-27 11:03:20+00:00,FRI
573,1,2021-11-01 00:00:00+00:00,MON
574,1,2021-11-06 00:00:00+00:00,SAT
575,4,2022-02-28 00:00:00+00:00,SUN
576,26,2022-01-26 16:27:50.769230848+00:00,THU
577,1,2021-10-30 00:00:00+00:00,SAT
578,7,2021-07-02 19:12:08.571428608+00:00,SAT
579,14,2021-12-03 15:17:55.714285568+00:00,WED
580,6,2022-03-18 16:00:00+00:00,FRI
581,2,2021-05-28 00:00:00+00:00,FRI
582,16,2021-12-13 11:24:07.500000+00:00,MON
583,10,2021-12-16 09:36:00+00:00,FRI
584,1,2021-11-07 00:00:00+00:00,SUN
585,1,2021-10-31 00:00:00+00:00,SUN
586,4,2021-05-09 06:00:00+00:00,SUN
587,11,2021-11-14 15:16:21.818181888+00:00,TUE
588,7,2022-02-13 18:26:25.714285824+00:00,FRI
589,1,2021-10-31 00:00:00+00:00,SUN
590,1,2021-11-04 00:00:00+00:00,THU
591,2,2021-06-23 19:23:30+00:00,SAT
592,1,2021-11-09 00:00:00+00:00,TUE
593,3,2021-07-25 18:30:00+00:00,TUE
594,2,2022-05-14 12:00:00+00:00,FRI
595,26,2021-10-02 13:15:48.461538304+00:00,TUE
596,6,2022-04-13 17:25:30+00:00,TUE
597,10,2021-10-12 00:46:18+00:00,THU
598,1,2021-11-10 00:00:00+00:00,WED
599,3,2021-08-31 16:00:00+00:00,WED
600,1,2021-11-10 00:00:00+00:00,WED
601,2,2021-04-06 00:00:00+00:00,THU
602,6,2021-05-20 08:00:00+00:00,WED
603,11,2022-02-01 22:37:27.272727296+00:00,WED
604,1,2021-11-02 00:00:00+00:00,TUE
605,2,2022-02-02 00:00:00+00:00,SUN
606,10,2021-09-01 01:30:00+00:00,SUN
607,15,2021-12-07 03:27:48.000000256+00:00,FRI
608,1,2021-11-02 00:00:00+00:00,TUE
609,16,2021-09-13 11:28:07.500000+00:00,SUN
610,6,2022-04-28 00:00:00+00:00,THU
611,1,2021-11-13 00:00:00+00:00,SAT
612,1,2021-11-12 00:00:00+00:00,FRI
613,4,2021-09-11 00:00:00+00:00,FRI
614,21,2022-09-22 13:35:02.857142784+00:00,FRI
615,4,2021-09-23 18:00:00+00:00,MON
616,1,2021-11-08 00:00:00+00:00,MON
617,2,2021-06-14 12:00:00+00:00,TUE
618,8,2022-05-14 13:51:15+00:00,WED
619,1,2021-11-10 16:43:00+00:00,WED
620,5,2021-07-01 14:13:24+00:00,SAT
621,1,2021-11-15 00:00:00+00:00,MON
622,1,2021-11-15 15:00:00+00:00,MON
623,4,2022-03-04 04:28:45+00:00,SUN
624,1,2021-11-09 00:00:00+00:00,TUE
625,7,2022-05-10 03:31:00+00:00,SAT
626,15,2021-12-25 22:24:00+00:00,SUN
627,3,2022-05-14 03:54:00+00:00,SAT
628,8,2021-12-12 15:00:00+00:00,MON
629,4,2021-06-05 01:45:00+00:00,THU
630,1,2021-11-07 00:00:00+00:00,SUN
631,1,2021-11-08 00:00:00+00:00,MON
632,1,2021-11-09 00:00:00+00:00,TUE
633,13,2022-01-19 11:58:46.153846272+00:00,SUN
634,1,2021-10-26 00:00:00+00:00,TUE
635,1,2021-11-17 00:00:00+00:00,WED
636,3,2022-04-22 08:00:00+00:00,WED
637,1,2021-11-18 00:00:00+00:00,THU
638,1,2021-11-06 00:00:00+00:00,SAT
639,1,2021-11-18 00:00:00+00:00,THU
640,2,2022-02-18 12:00:00+00:00,THU
641,8,2020-10-30 07:28:37.500000+00:00,TUE
642,10,2022-02-18 21:36:00+00:00,TUE
643,1,2021-11-19 00:00:00+00:00,FRI
644,25,2022-01-13 02:48:12+00:00,THU
645,8,2022-03-20 12:00:00+00:00,MON
646,2,2022-05-28 00:00:00+00:00,THU
647,1,2021-11-17 00:00:00+00:00,WED
648,5,2021-08-20 14:24:00+00:00,FRI
649,1,2021-11-19 00:00:00+00:00,FRI
650,1,2021-11-14 00:00:00+00:00,SUN
651,2,2022-04-01 12:00:00+00:00,MON
652,1,2021-11-17 00:00:00+00:00,WED
653,13,2022-04-15 05:27:13.846153728+00:00,WED
654,1,2021-11-14 00:00:00+00:00,SUN
655,22,2022-06-22 08:59:35.454545408+00:00,WED
656,6,2022-06-28 20:00:00+00:00,WED
657,9,2021-03-24 16:00:00+00:00,THU
658,1,2021-11-11 00:00:00+00:00,THU
659,1,2021-11-20 00:00:00+00:00,SAT
660,1,2021-11-13 00:00:00+00:00,SAT
661,2,2021-10-15 08:12:30+00:00,TUE
662,3,2022-01-22 00:00:00+00:00,SUN
663,2,2021-01-21 22:30:00+00:00,TUE
664,3,2022-08-28 08:00:00+00:00,MON
665,3,2022-04-11 00:00:00+00:00,FRI
666,7,2021-12-12 20:34:17.142857216+00:00,TUE
667,16,2021-06-11 10:30:00+00:00,SUN
668,3,2023-02-03 11:12:40+00:00,WED
669,1,2021-11-21 00:00:00+00:00,SUN
670,4,2021-06-17 10:37:00+00:00,SUN
671,6,2021-03-15 08:00:00+00:00,SAT
672,1,2021-11-16 00:00:00+00:00,TUE
673,1,2021-11-15 00:00:00+00:00,MON
674,1,2021-11-23 00:00:00+00:00,TUE
675,1,2021-11-20 00:00:00+00:00,SAT
676,2,2022-01-30 12:00:00+00:00,SUN
677,19,2021-12-10 23:59:56.842105088+00:00,TUE
678,3,2022-06-06 08:00:00+00:00,TUE
679,3,2021-09-25 00:00:00+00:00,FRI
680,33,2022-01-03 06:58:30.909090816+00:00,SAT
681,1,2021-11-28 00:00:00+00:00,SUN
682,8,2022-03-19 07:37:15+00:00,TUE
683,1,2021-11-23 00:00:00+00:00,TUE
684,22,2021-11-15 21:02:43.636363520+00:00,FRI
685,4,2022-07-03 12:00:00+00:00,THU
686,1,2021-11-28 00:00:00+00:00,SUN
687,1,2021-11-14 00:00:00+00:00,SUN
688,9,2022-04-17 11:52:13.333333248+00:00,TUE
689,8,2021-10-08 00:00:00+00:00,WED
690,1,2021-11-14 00:00:00+00:00,SUN
691,16,2021-12-31 00:29:41.249999872+00:00,FRI
692,5,2022-08-29 14:24:00+00:00,MON
693,25,2022-03-23 20:43:21.600000+00:00,MON
694,7,2021-09-20 15:44:51.428571392+00:00,TUE
695,3,2022-10-14 08:00:00+00:00,THU
696,4,2023-01-29 04:18:00+00:00,WED
697,1,2021-11-15 00:00:00+00:00,MON
698,9,2022-05-02 07:00:33.333333248+00:00,FRI
699,1,2021-11-29 00:00:00+00:00,MON
700,21,2022-02-17 10:00:08.571428352+00:00,THU
701,7,2021-10-28 13:42:51.428571392+00:00,MON
702,6,2022-07-02 04:00:00+00:00,MON
703,13,2021-12-02 23:31:46.153846272+00:00,WED
704,2,2022-07-26 12:00:00+00:00,TUE
705,5,2022-07-27 04:27:24+00:00,TUE
706,8,2021-07-15 11:35:37.500000+00:00,WED
707,18,2021-11-11 18:49:40+00:00,WED
708,2,2021-08-29 00:00:00+00:00,SUN
709,2,2022-03-03 11:47:30+00:00,SAT
710,2,2021-09-11 00:00:00+00:00,SAT
711,4,2021-09-12 18:00:00+00:00,FRI
712,15,2022-02-01 06:24:00+00:00,SUN
713,2,2021-04-30 00:00:00+00:00,SUN
714,8,2021-08-27 09:00:00+00:00,MON
715,1,2021-09-08 00:00:00+00:00,WED
716,2,2022-01-10 00:00:00+00:00,SUN
717,9,2022-09-18 05:20:00+00:00,FRI
718,1,2021-11-23 00:00:00+00:00,TUE
719,1,2021-11-23 00:00:00+00:00,TUE
720,4,2022-02-08 00:00:00+00:00,SUN
721,1,2021-11-22 23:46:00+00:00,MON
722,2,2021-01-15 00:00:00+00:00,SAT
723,7,2021-08-18 23:25:42.857142784+00:00,TUE
724,6,2021-09-14 08:39:20+00:00,SUN
725,1,2021-12-06 00:00:00+00:00,MON
726,5,2021-03-03 00:00:00+00:00,SUN
727,1,2021-11-18 00:00:00+00:00,THU
728,13,2022-03-28 12:55:23.076923136+00:00,WED
729,4,2021-05-26 12:00:00+00:00,WED
730,3,2022-01-05 05:01:00+00:00,THU
731,20,2021-10-10 12:24:54+00:00,WED
732,1,2021-12-02 17:31:00+00:00,THU
733,2,2022-02-17 12:00:00+00:00,WED
734,1,2021-12-07 00:00:00+00:00,TUE
735,4,2021-01-19 12:00:00+00:00,WED
736,1,2021-11-25 00:00:00+00:00,THU
737,20,2022-01-13 23:34:00+00:00,WED
738,13,2022-08-20 07:12:09.230769152+00:00,THU
739,1,2021-10-28 00:00:00+00:00,THU
740,1,2021-12-08 00:00:00+00:00,WED
741,18,2022-01-02 17:52:40+00:00,WED
742,25,2021-07-18 13:41:00+00:00,THU
743,1,2021-12-03 00:00:00+00:00,FRI
744,1,2021-12-04 00:00:00+00:00,SAT
745,18,2021-07-05 17:20:00+00:00,TUE
746,2,2021-01-15 12:00:00+00:00,THU
747,8,2021-10-03 15:00:00+00:00,SUN
748,1,2021-12-10 00:00:00+00:00,FRI
749,1,2021-12-09 00:00:00+00:00,THU
750,1,2021-12-11 00:00:00+00:00,SAT
751,25,2022-03-01 16:58:28.799999744+00:00,THU
752,23,2022-01-08 08:13:00+00:00,SAT
753,2,2022-08-04 12:00:00+00:00,SUN
754,5,2022-05-04 14:24:00+00:00,SUN
755,26,2022-01-23 00:19:48.461538304+00:00,FRI
756,5,2022-06-02 04:48:00+00:00,FRI
757,3,2022-09-27 00:00:00+00:00,MON
758,3,2021-06-12 00:00:00+00:00,FRI
759,6,2021-07-27 04:00:00+00:00,SUN
760,8,2022-03-31 07:45:52.500000+00:00,SAT
761,5,2021-11-19 04:48:00+00:00,WED
762,4,2022-05-21 18:00:00+00:00,SAT
763,9,2021-09-12 04:59:00+00:00,TUE
764,1,2021-12-14 00:00:00+00:00,TUE
765,8,2021-11-12 23:11:15+00:00,SUN
766,1,2021-12-13 16:29:00+00:00,MON
767,38,2022-04-01 09:32:26.842105344+00:00,MON
768,6,2021-12-10 00:00:00+00:00,MON
769,17,2022-02-23 03:53:35.294117632+00:00,FRI
770,1,2021-12-14 05:17:00+00:00,TUE
771,3,2021-07-29 16:00:00+00:00,MON
772,2,2021-08-10 00:00:00+00:00,THU
773,2,2021-10-11 12:00:00+00:00,TUE
774,1,2021-11-03 00:00:00+00:00,WED
775,1,2021-11-29 00:00:00+00:00,MON
776,3,2021-05-13 16:00:00+00:00,WED
777,13,2022-05-09 08:49:36.923077120+00:00,THU
778,2,2021-10-04 09:17:00+00:00,MON
779,1,2021-12-17 00:00:00+00:00,FRI
780,6,2022-03-19 20:00:00+00:00,MON
781,10,2021-07-02 19:12:00+00:00,WED
782,10,2021-12-23 10:19:06+00:00,FRI
783,2,2020-12-26 12:00:00+00:00,MON
784,53,2021-10-14 18:09:46.415094272+00:00,MON
785,29,2022-01-27 21:04:16.551724032+00:00,MON
786,2,2022-06-01 00:00:00+00:00,TUE
787,1,2021-12-18 00:00:00+00:00,SAT
788,1,2021-12-10 00:00:00+00:00,FRI
789,3,2021-09-08 16:00:00+00:00,SAT
790,2,2021-01-15 03:35:00+00:00,THU
791,1,2021-12-16 00:00:00+00:00,THU
792,5,2022-04-07 14:24:00+00:00,SAT
793,1,2021-12-16 00:00:00+00:00,THU
794,1,2021-12-17 00:00:00+00:00,FRI
795,3,2021-05-22 11:23:00+00:00,FRI
796,4,2022-01-10 00:00:00+00:00,SUN
797,1,2021-12-14 00:00:00+00:00,TUE
798,3,2022-04-16 00:00:00+00:00,MON
799,2,2022-10-27 00:00:00+00:00,MON
800,1,2021-12-13 10:00:00+00:00,MON
801,9,2022-01-24 05:56:40+00:00,MON
802,2,2021-08-10 12:00:00+00:00,THU
803,5,2022-02-09 02:21:00+00:00,WED
804,3,2022-03-06 08:00:00+00:00,SAT
805,4,2022-03-16 18:00:00+00:00,WED
806,19,2022-04-21 03:24:34.736841984+00:00,THU
807,10,2022-02-23 13:53:48+00:00,WED
808,9,2021-09-19 08:00:00+00:00,FRI
809,1,2021-12-17 00:00:00+00:00,FRI
810,1,2021-12-17 00:00:00+00:00,FRI
811,6,2021-11-16 04:00:00+00:00,MON
812,1,2021-12-21 00:00:00+00:00,TUE
813,16,2022-03-19 06:56:15+00:00,SUN
814,1,2021-12-23 00:00:00+00:00,THU
815,2,2022-03-07 12:00:00+00:00,WED
816,1,2021-12-22 00:00:00+00:00,WED
817,4,2021-10-30 12:26:15+00:00,SAT
818,27,2022-05-06 06:34:08.888889088+00:00,MON
819,2,2021-08-29 20:05:30+00:00,FRI
820,1,2021-12-25 00:00:00+00:00,SAT
821,3,2021-05-26 00:00:00+00:00,MON
822,1,2021-12-20 00:00:00+00:00,MON
823,1,2021-12-05 00:00:00+00:00,SUN
824,6,2021-11-26 15:22:40+00:00,THU
825,1,2021-12-25 00:00:00+00:00,SAT
826,1,2021-12-18 00:00:00+00:00,SAT
827,9,2022-09-26 22:25:20+00:00,THU
828,12,2022-04-29 21:15:45.000000256+00:00,THU
829,7,2022-02-14 00:00:00+00:00,TUE
830,2,2022-01-18 00:00:00+00:00,TUE
831,15,2022-04-19 22:24:00+00:00,MON
832,3,2021-11-17 00:00:00+00:00,WED
833,2,2022-06-02 00:00:00+00:00,TUE
834,16,2022-01-25 01:30:00+00:00,MON
835,2,2022-05-15 12:00:00+00:00,WED
836,1,2021-12-30 00:00:00+00:00,THU
837,1,2021-12-07 00:00:00+00:00,TUE
838,2,2022-04-12 12:00:00+00:00,THU
839,18,2021-10-27 03:50:43.333333504+00:00,FRI
840,1,2021-12-30 00:00:00+00:00,THU
841,24,2022-01-14 20:02:45.000000256+00:00,THU
842,5,2021-10-13 19:12:00+00:00,WED
843,9,2021-12-27 12:32:33.333333248+00:00,TUE
844,1,2021-12-31 20:00:00+00:00,FRI
845,2,2022-06-18 12:00:00+00:00,THU
846,5,2021-05-28 00:00:00+00:00,FRI
847,9,2022-01-13 02:40:00+00:00,SUN
848,4,2022-07-27 12:00:00+00:00,TUE
849,1,2021-12-17 00:00:00+00:00,FRI
850,3,2022-02-17 00:00:00+00:00,THU
851,5,2022-03-07 04:48:00+00:00,TUE
852,1,2021-12-13 00:00:00+00:00,MON
853,9,2021-12-15 02:40:00+00:00,FRI
854,10,2022-01-18 23:56:42+00:00,SAT
855,2,2021-11-01 00:00:00+00:00,MON
856,1,2021-12-22 00:00:00+00:00,WED
857,4,2021-09-02 18:00:00+00:00,SAT
858,4,2021-06-04 18:00:00+00:00,FRI
859,1,2021-12-31 00:00:00+00:00,FRI
860,2,2022-08-17 12:00:00+00:00,THU
861,1,2021-12-30 00:00:00+00:00,THU
862,10,2021-02-27 04:14:30+00:00,THU
863,2,2021-11-11 12:00:00+00:00,MON
864,1,2022-01-02 00:00:00+00:00,SUN
865,7,2022-01-09 03:25:42.857142784+00:00,WED
866,1,2022-01-05 19:06:00+00:00,WED
867,1,2022-01-01 02:47:00+00:00,SAT
868,16,2022-05-30 18:43:37.500000+00:00,TUE
869,1,2022-01-04 02:00:00+00:00,TUE
870,1,2021-12-25 00:00:00+00:00,SAT
871,6,2022-03-18 18:02:22+00:00,WED
872,8,2022-06-19 21:00:00+00:00,SAT
873,4,2022-10-18 12:00:00+00:00,SAT
874,1,2022-01-01 00:00:00+00:00,SAT
875,1,2022-01-01 00:00:00+00:00,SAT
876,3,2022-11-07 08:00:00+00:00,THU
877,3,2021-12-30 22:03:20+00:00,SAT
878,3,2021-06-16 16:00:00+00:00,MON
879,5,2021-05-01 00:00:00+00:00,WED
880,1,2022-01-07 00:00:00+00:00,FRI
881,10,2021-12-19 12:29:06+00:00,THU
882,24,2021-12-15 19:00:00+00:00,FRI
883,2,2021-01-29 09:57:30+00:00,SUN
884,9,2021-12-24 00:00:00+00:00,THU
885,1,2022-01-07 02:53:00+00:00,FRI
886,3,2020-09-26 16:00:00+00:00,SAT
887,11,2022-07-17 01:03:00+00:00,FRI
888,3,2021-09-14 16:00:00+00:00,WED
889,1,2022-01-09 00:00:00+00:00,SUN
890,2,2021-06-22 00:00:00+00:00,WED
891,1,2022-01-03 00:00:00+00:00,MON
892,7,2022-03-29 06:51:25.714285824+00:00,SUN
893,1,2022-01-15 00:00:00+00:00,SAT
894,2,2022-10-01 12:00:00+00:00,SAT
895,1,2022-01-04 13:15:00+00:00,TUE
896,2,2022-05-19 09:01:30+00:00,FRI
897,2,2021-01-13 06:05:00+00:00,SUN
898,5,2020-12-31 14:24:00+00:00,MON
899,8,2021-06-17 00:00:00+00:00,MON
900,1,2022-01-12 00:00:00+00:00,WED
901,1,2022-01-04 00:00:00+00:00,TUE
902,3,2022-10-22 16:00:00+00:00,THU
903,2,2021-09-05 12:00:00+00:00,TUE
904,4,2022-02-21 18:00:00+00:00,FRI
905,1,2022-01-15 00:00:00+00:00,SAT
906,12,2021-09-16 21:32:00+00:00,FRI
907,1,2022-01-15 22:07:00+00:00,SAT
908,6,2021-09-04 08:00:00+00:00,TUE
909,1,2022-01-19 00:00:00+00:00,WED
910,23,2022-04-12 03:34:26.086956544+00:00,WED
911,7,2022-02-16 00:00:00+00:00,THU
912,2,2021-10-17 12:00:00+00:00,FRI
913,1,2022-01-20 00:00:00+00:00,THU
914,10,2022-02-12 09:07:18+00:00,SUN
915,1,2021-12-07 00:00:00+00:00,TUE
916,5,2022-02-23 17:57:00+00:00,MON
917,17,2022-04-26 22:35:17.647058944+00:00,MON
918,1,2022-01-21 00:00:00+00:00,FRI
919,7,2022-03-01 22:39:51.428571392+00:00,THU
920,1,2022-01-21 00:00:00+00:00,FRI
921,6,2021-06-19 12:07:00+00:00,MON
922,1,2022-01-21 00:00:00+00:00,FRI
923,5,2021-10-11 19:12:00+00:00,FRI
924,1,2022-01-21 00:00:00+00:00,FRI
925,1,2022-01-10 00:00:00+00:00,MON
926,1,2022-01-09 00:00:00+00:00,SUN
927,2,2021-11-24 12:00:00+00:00,FRI
928,1,2022-01-21 00:00:00+00:00,FRI
929,11,2021-10-05 13:05:27.272727296+00:00,TUE
930,1,2022-01-21 00:00:00+00:00,FRI
931,6,2022-05-27 12:00:00+00:00,SAT
932,1,2022-01-21 00:00:00+00:00,FRI
933,1,2022-01-26 00:00:00+00:00,WED
934,1,2022-01-27 00:00:00+00:00,THU
935,1,2022-01-30 00:00:00+00:00,SUN
936,1,2022-01-29 14:48:00+00:00,SAT
937,1,2022-01-15 00:00:00+00:00,SAT
938,1,2022-01-21 00:00:00+00:00,FRI
939,1,2022-01-21 00:00:00+00:00,FRI
940,5,2022-02-24 09:36:00+00:00,TUE
941,2,2021-04-13 12:00:00+00:00,SUN
942,7,2021-09-24 12:49:00+00:00,MON
943,3,2021-11-22 00:00:00+00:00,THU
944,4,2022-05-30 12:32:30+00:00,WED
945,4,2022-01-27 06:00:00+00:00,FRI
946,1,2022-01-25 00:00:00+00:00,TUE
947,29,2022-02-07 02:28:37.241379072+00:00,THU
948,7,2022-08-17 14:11:08.571428608+00:00,THU
949,5,2021-06-30 00:00:00+00:00,WED
950,10,2021-12-23 16:09:06+00:00,WED
951,1,2022-02-03 00:00:00+00:00,THU
952,1,2022-01-27 00:00:00+00:00,THU
953,1,2022-01-10 00:00:00+00:00,MON
954,10,2022-03-25 14:24:00+00:00,TUE
955,1,2022-02-01 00:00:00+00:00,TUE
956,1,2022-01-29 00:00:00+00:00,SAT
957,18,2022-04-20 23:29:13.333333248+00:00,MON
958,1,2022-02-04 17:00:00+00:00,FRI
959,1,2022-02-08 00:00:00+00:00,TUE
960,3,2021-12-25 08:00:00+00:00,SAT
961,1,2022-01-19 00:00:00+00:00,WED
962,1,2022-02-07 00:00:00+00:00,MON
963,1,2022-06-14 00:00:00+00:00,TUE
964,13,2022-06-02 16:36:55.384615424+00:00,MON
965,1,2022-06-19 00:00:00+00:00,SUN
966,1,2022-05-25 00:00:00+00:00,WED
967,1,2022-05-23 00:00:00+00:00,MON
968,2,2022-04-15 09:37:30+00:00,SAT
969,2,2022-02-08 00:00:00+00:00,THU
970,1,2022-06-10 00:00:00+00:00,FRI
971,18,2021-10-13 20:00:00+00:00,TUE
972,5,2022-10-02 08:00:00+00:00,FRI
973,3,2021-06-19 16:00:00+00:00,THU
974,2,2022-12-15 12:00:00+00:00,TUE
975,1,2022-06-02 00:00:00+00:00,THU
976,2,2021-04-26 00:00:00+00:00,MON
977,1,2022-06-07 00:00:00+00:00,TUE
978,1,2022-06-20 11:41:00+00:00,MON
979,28,2022-03-03 03:38:12.857142784+00:00,WED
980,4,2022-07-02 05:19:00+00:00,SAT
981,8,2021-08-27 01:41:15+00:00,THU
982,1,2022-06-21 00:00:00+00:00,TUE
983,1,2022-06-15 00:00:00+00:00,WED
984,12,2021-12-20 23:34:54.999999744+00:00,FRI
985,6,2021-11-18 10:34:10+00:00,TUE
986,22,2021-11-21 03:16:21.818181888+00:00,FRI
987,1,2022-06-15 00:00:00+00:00,WED
988,19,2022-01-16 17:20:31.578947328+00:00,MON
989,2,2022-07-09 00:00:00+00:00,WED
990,1,2022-06-24 00:00:00+00:00,FRI
991,2,2022-06-28 00:00:00+00:00,SAT
992,7,2022-01-24 17:08:34.285714176+00:00,SUN
993,1,2022-06-22 00:00:00+00:00,WED
994,1,2022-06-09 00:00:00+00:00,THU
995,1,2022-06-21 00:00:00+00:00,TUE
996,3,2022-06-25 08:00:00+00:00,FRI
997,2,2022-09-27 00:00:00+00:00,FRI
998,14,2022-01-28 08:34:17.142857216+00:00,FRI
999,1,2022-06-16 00:00:00+00:00,THU
1000,1,2022-06-20 00:00:00+00:00,MON
1001,1,2022-06-26 00:00:00+00:00,SUN
1002,7,2022-05-05 03:25:42.857142784+00:00,TUE
1003,2,2021-11-07 12:00:00+00:00,SAT
1004,1,2022-03-03 00:00:00+00:00,THU
1005,2,2022-05-22 12:00:00+00:00,SAT
1006,4,2022-05-09 00:00:00+00:00,FRI
1007,4,2022-10-28 06:00:00+00:00,SAT
1008,3,2023-01-12 08:00:00+00:00,TUE
1009,2,2022-04-11 12:00:00+00:00,MON
1010,6,2022-10-12 16:00:00+00:00,SUN
1011,2,2021-04-16 12:00:00+00:00,TUE
1012,3,2022-10-17 08:00:00+00:00,SUN
1013,16,2021-11-22 15:44:26.249999872+00:00,FRI
1014,2,2021-04-19 00:00:00+00:00,MON
1015,1,2022-06-30 00:00:00+00:00,THU
1016,5,2021-12-26 19:12:00+00:00,FRI
1017,2,2022-11-21 12:00:00+00:00,THU
1018,1,2022-05-03 00:00:00+00:00,TUE
1019,3,2021-05-15 08:00:00+00:00,MON
1020,1,2022-06-24 00:00:00+00:00,FRI
1021,4,2022-02-21 12:00:00+00:00,TUE
1022,2,2021-07-04 00:00:00+00:00,FRI
1023,1,2022-06-24 00:00:00+00:00,FRI
1024,1,2022-06-28 00:00:00+00:00,TUE
1025,1,2022-06-30 00:00:00+00:00,THU
1026,1,2022-07-02 00:00:00+00:00,SAT
1027,2,2021-04-26 00:00:00+00:00,MON
1028,3,2021-05-28 08:00:00+00:00,FRI
1029,1,2022-06-24 00:00:00+00:00,FRI
1030,1,2022-06-17 00:00:00+00:00,FRI
1031,9,2022-01-14 09:19:33.333333248+00:00,SUN
1032,1,2022-07-02 00:00:00+00:00,SAT
1033,1,2022-06-30 00:00:00+00:00,THU
1034,1,2022-06-19 00:00:00+00:00,SUN
1035,2,2021-08-13 00:00:00+00:00,MON
1036,3,2022-07-19 16:00:00+00:00,WED
1037,15,2021-08-09 09:36:00+00:00,SAT
1038,1,2022-05-26 00:00:00+00:00,THU
1039,1,2022-07-05 00:00:00+00:00,TUE
1040,3,2021-05-20 08:00:00+00:00,MON
1041,1,2022-06-10 00:00:00+00:00,FRI
1042,2,2021-04-21 12:00:00+00:00,SAT
1043,1,2022-07-04 00:00:00+00:00,MON
1044,7,2022-03-07 01:09:08.571428608+00:00,TUE
1045,2,2022-10-29 00:00:00+00:00,FRI
1046,12,2022-01-26 06:00:00+00:00,THU
1047,5,2021-08-16 02:30:00+00:00,SAT
1048,2,2022-11-11 12:00:00+00:00,MON
1049,2,2022-01-09 12:00:00+00:00,TUE
1050,1,2022-06-26 00:00:00+00:00,SUN
1051,11,2021-12-28 06:32:43.636363520+00:00,SUN
1052,2,2022-04-27 00:00:00+00:00,SAT
1053,2,2022-05-08 12:00:00+00:00,MON
1054,2,2021-04-16 00:00:00+00:00,SUN
1055,1,2022-07-01 00:00:00+00:00,FRI
1056,4,2021-11-01 00:00:00+00:00,SAT
1057,2,2022-09-10 12:00:00+00:00,THU
1058,1,2022-07-08 00:00:00+00:00,FRI
1059,1,2022-07-01 00:00:00+00:00,FRI
1060,3,2022-06-29 08:00:00+00:00,THU
1061,1,2022-07-09 00:00:00+00:00,SAT
1062,1,2022-06-17 00:00:00+00:00,FRI
1063,2,2022-10-26 00:00:00+00:00,MON
1064,1,2022-07-06 00:00:00+00:00,WED
1065,11,2022-09-22 12:21:49.090909184+00:00,WED
1066,2,2021-04-27 00:00:00+00:00,MON
1067,1,2022-07-05 00:00:00+00:00,TUE
1068,11,2022-05-27 03:04:32.727272704+00:00,WED
1069,9,2021-04-12 18:40:00+00:00,SUN
1070,2,2022-11-15 12:00:00+00:00,SUN
1071,1,2022-07-04 00:00:00+00:00,MON
1072,6,2021-11-28 00:00:00+00:00,WED
1073,24,2022-01-29 03:31:40+00:00,WED
1074,1,2022-06-12 00:00:00+00:00,SUN
1075,12,2022-03-13 16:00:00+00:00,TUE
1076,9,2021-11-02 06:42:13.333333248+00:00,SUN
1077,1,2022-06-11 00:00:00+00:00,SAT
1078,8,2022-06-06 18:00:00+00:00,FRI
1079,1,2022-07-07 00:00:00+00:00,THU
1080,4,2022-06-17 00:00:00+00:00,WED
1081,1,2022-06-20 00:00:00+00:00,MON
1082,6,2022-03-16 08:00:00+00:00,TUE
1083,6,2021-08-29 20:00:00+00:00,THU
1084,4,2021-12-23 06:00:00+00:00,TUE
1085,5,2022-02-24 07:51:00+00:00,FRI
1086,3,2023-03-04 08:00:00+00:00,TUE
1087,1,2022-07-06 00:00:00+00:00,WED
1088,4,2021-12-02 21:18:45+00:00,THU
1089,1,2022-07-15 00:00:00+00:00,FRI
1090,1,2022-07-06 00:00:00+00:00,WED
