cluster,number_of_accidents,average_accident_time,most_common_day
120,10,2021-06-03 13:20:12+00:00,FRI
121,4,2021-01-29 22:43:45+00:00,FRI
122,8,2021-07-09 21:00:00+00:00,FRI
123,1,2020-05-03 00:00:00+00:00,SUN
124,11,2021-10-26 06:32:43.636363520+00:00,SAT
125,48,2021-10-01 01:25:20+00:00,WED
126,1,2020-05-15 00:00:00+00:00,FRI
127,46,2021-12-27 03:59:58.695652352+00:00,FRI
128,1,2020-05-17 00:00:00+00:00,SUN
129,2,2020-05-22 00:00:00+00:00,FRI
130,18,2021-10-01 15:40:00+00:00,FRI
131,75,2021-08-16 12:28:24+00:00,THU
132,3,2021-08-28 08:00:00+00:00,MON
133,8,2021-12-24 21:00:00+00:00,SUN
134,6,2021-05-28 16:00:00+00:00,FRI
135,1,2020-05-26 00:00:00+00:00,TUE
136,17,2021-07-18 19:45:52.941176576+00:00,TUE
137,1,2020-05-28 00:00:00+00:00,THU
138,13,2022-02-11 22:33:00.000000256+00:00,WED
139,10,2022-01-11 04:48:00+00:00,THU
140,7,2021-10-26 21:55:34.285714176+00:00,TUE
141,11,2021-08-14 07:09:49.090909184+00:00,FRI
142,3,2020-08-23 00:00:00+00:00,THU
143,19,2021-06-21 12:05:03.157894656+00:00,THU
144,109,2021-07-12 06:52:08.807339264+00:00,THU
145,1,2020-05-05 00:00:00+00:00,TUE
146,4,2022-03-21 06:00:00+00:00,SAT
147,2,2021-06-05 12:00:00+00:00,THU
148,5,2021-08-29 00:00:00+00:00,TUE
149,4,2020-04-10 18:00:00+00:00,WED
150,3,2021-06-01 08:00:00+00:00,THU
151,1,2020-06-13 00:00:00+00:00,SAT
152,5,2020-10-10 09:36:00+00:00,WED
153,1,2020-06-24 19:25:00+00:00,WED
154,18,2022-05-02 10:40:00+00:00,FRI
155,8,2022-01-12 11:41:30+00:00,WED
156,1,2020-06-27 00:00:00+00:00,SAT
157,27,2021-12-12 09:00:09.111111168+00:00,THU
158,1,2020-06-27 00:00:00+00:00,SAT
159,17,2022-01-10 00:59:07.058823680+00:00,THU
160,9,2021-12-12 02:40:00+00:00,SAT
161,5,2021-05-20 04:00:00+00:00,MON
162,1,2020-06-30 00:00:00+00:00,TUE
163,1,2020-07-05 00:00:00+00:00,SUN
164,2,2020-05-23 12:00:00+00:00,WED
165,1,2020-07-05 00:00:00+00:00,SUN
166,18,2022-01-19 09:33:33.333333248+00:00,MON
167,1,2020-07-06 17:27:00+00:00,MON
168,9,2021-12-10 00:28:20+00:00,THU
169,12,2021-11-27 18:00:00+00:00,THU
170,27,2021-07-09 21:59:46.666666752+00:00,FRI
171,145,2021-11-18 11:39:48+00:00,THU
172,6,2022-03-10 12:00:00+00:00,WED
173,2,2021-03-13 21:11:00+00:00,SAT
174,1,2020-07-18 00:00:00+00:00,SAT
175,4,2021-01-15 15:48:45+00:00,WED
176,13,2021-12-13 08:38:46.153846272+00:00,WED
177,6,2022-02-27 00:00:00+00:00,MON
178,1,2020-07-27 17:17:00+00:00,MON
179,5,2021-09-22 18:34:00+00:00,TUE
180,70,2021-09-07 15:52:20.614285568+00:00,SUN
181,1,2020-08-02 00:00:00+00:00,SUN
182,1,2020-07-19 00:00:00+00:00,SUN
183,213,2021-08-04 13:11:09.586854400+00:00,FRI
184,1,2020-08-05 00:00:00+00:00,WED
185,2,2021-06-15 12:00:00+00:00,TUE
186,60,2022-04-18 14:05:09+00:00,SAT
187,1,2020-08-11 00:00:00+00:00,TUE
188,43,2021-11-24 03:07:58.604651008+00:00,THU
189,5,2021-12-17 19:12:00+00:00,SUN
190,2,2020-05-29 00:00:00+00:00,THU
191,4,2021-03-18 06:00:00+00:00,SAT
192,8,2022-04-02 23:11:22.500000+00:00,TUE
193,6,2022-03-16 03:32:40+00:00,FRI
194,3,2021-09-25 21:40:00+00:00,SUN
195,45,2022-01-25 02:19:20+00:00,SUN
196,3,2021-10-07 13:09:20+00:00,FRI
197,1,2020-08-15 20:00:00+00:00,SAT
198,2,2021-07-29 20:00:00+00:00,THU
199,1,2020-08-22 00:00:00+00:00,SAT
200,2,2021-01-08 12:00:00+00:00,WED
201,69,2022-03-01 04:07:49.565217280+00:00,THU
202,16,2021-08-31 11:26:15+00:00,FRI
203,2,2022-02-13 00:00:00+00:00,TUE
204,2,2021-04-07 00:00:00+00:00,THU
205,16,2022-01-15 00:22:48.750000128+00:00,WED
206,5,2021-08-12 22:30:36+00:00,MON
207,18,2021-09-20 03:38:20+00:00,TUE
208,1,2020-09-07 19:23:00+00:00,MON
209,17,2021-06-19 06:20:24.705882112+00:00,MON
210,3,2021-12-22 06:40:00+00:00,MON
211,22,2021-10-27 12:35:57.272727296+00:00,MON
212,21,2021-12-29 04:15:11.428571392+00:00,WED
213,1,2020-09-14 00:00:00+00:00,MON
214,68,2021-11-18 12:30:07.941176320+00:00,THU
215,2,2020-11-03 12:00:00+00:00,WED
216,1,2020-09-13 00:00:00+00:00,SUN
217,1,2020-09-19 00:00:00+00:00,SAT
218,8,2021-09-28 15:00:00+00:00,THU
219,1,2020-09-20 00:00:00+00:00,SUN
220,1,2020-09-19 15:00:00+00:00,SAT
221,2,2022-02-22 00:00:00+00:00,SUN
222,9,2022-05-04 08:00:00+00:00,MON
223,25,2022-03-05 06:28:48+00:00,WED
224,41,2021-09-01 12:15:54.146341376+00:00,FRI
225,6,2021-12-16 04:00:00+00:00,FRI
226,10,2021-10-23 23:35:36+00:00,FRI
227,3,2022-08-20 00:00:00+00:00,SUN
228,1,2020-10-01 00:00:00+00:00,THU
229,61,2022-06-24 17:47:13.770491904+00:00,SAT
230,1,2020-09-15 00:00:00+00:00,TUE
231,1,2020-09-26 00:00:00+00:00,SAT
232,22,2021-11-21 00:53:54.545454592+00:00,MON
233,1,2020-10-06 00:00:00+00:00,TUE
234,1,2020-10-07 00:00:00+00:00,WED
235,2,2021-07-29 00:00:00+00:00,SUN
236,10,2021-08-25 01:21:12+00:00,FRI
237,4,2021-06-16 21:43:45+00:00,MON
238,3,2021-05-04 16:00:00+00:00,MON
239,39,2021-07-29 05:58:49.230769408+00:00,THU
240,1,2020-10-16 00:00:00+00:00,FRI
241,17,2022-05-23 03:50:17.647058688+00:00,TUE
